seed,checkpoint,eval_offset,focal,condition,soups,base_role,selected_role,oracle_role,decision_correct,true_partner_roles,inferred_partner_roles
0,2,0,0,base,0.0,0,0,0,1,0-0,
0,2,0,0,frozen,0.0,0,0,0,1,0-0,0-1
0,2,0,0,dynamic,0.0,0,0,0,1,0-0,0-1
0,2,0,0,stale_budget,0.0,0,0,0,1,0-0,0-1
0,2,0,0,oracle,0.0,0,0,0,1,0-0,
0,2,0,1,base,0.0,0,0,0,1,0-0,
0,2,0,1,frozen,0.0,0,0,0,1,0-0,0-1
0,2,0,1,dynamic,0.0,0,0,0,1,0-0,0-1
0,2,0,1,stale_budget,0.0,0,0,0,1,0-0,0-1
0,2,0,1,oracle,0.0,0,0,0,1,0-0,
0,2,0,2,base,0.0,0,0,0,1,0-0,
0,2,0,2,frozen,0.0,0,0,0,1,0-0,0-1
0,2,0,2,dynamic,0.0,0,0,0,1,0-0,0-0
0,2,0,2,stale_budget,0.0,0,0,0,1,0-0,0-0
0,2,0,2,oracle,0.0,0,0,0,1,0-0,
0,4,0,0,base,0.0,0,0,0,1,2-0,
0,4,0,0,frozen,0.0,0,0,0,1,2-0,1-1
0,4,0,0,dynamic,0.0,0,0,0,1,2-0,0-1
0,4,0,0,stale_budget,0.0,0,0,0,1,2-0,0-1
0,4,0,0,oracle,0.0,0,0,0,1,2-0,
0,4,0,1,base,0.0,2,2,0,0,0-0,
0,4,0,1,frozen,0.0,2,0,0,1,0-0,0-1
0,4,0,1,dynamic,0.0,2,0,0,1,0-0,0-1
0,4,0,1,stale_budget,0.0,2,0,0,1,0-0,0-1
0,4,0,1,oracle,0.0,2,0,0,1,0-0,
0,4,0,2,base,0.0,0,0,0,1,0-2,
0,4,0,2,frozen,0.0,0,0,0,1,0-2,0-0
0,4,0,2,dynamic,0.0,0,0,0,1,0-2,0-0
0,4,0,2,stale_budget,0.0,0,0,0,1,0-2,0-0
0,4,0,2,oracle,0.0,0,0,0,1,0-2,
