seed,checkpoint,eval_offset,focal,condition,soups,base_role,selected_role,oracle_role,decision_correct,true_partner_roles,inferred_partner_roles
0,40,0,0,base,3.0,0,0,0,1,2-1,
0,40,0,0,frozen,2.0,0,2,0,0,2-1,0-1
0,40,0,0,dynamic,3.0,0,0,0,1,2-1,2-1
0,40,0,0,stale_budget,2.0,0,2,0,0,2-1,0-1
0,40,0,0,oracle,3.0,0,0,0,1,2-1,
0,40,0,1,base,3.0,2,2,2,1,0-1,
0,40,0,1,frozen,3.0,2,2,2,1,0-1,0-1
0,40,0,1,dynamic,3.0,2,2,2,1,0-1,0-1
0,40,0,1,stale_budget,3.0,2,2,2,1,0-1,0-1
0,40,0,1,oracle,3.0,2,2,2,1,0-1,
0,40,0,2,base,3.0,1,1,1,1,0-2,
0,40,0,2,frozen,3.0,1,2,1,0,0-2,0-0
0,40,0,2,dynamic,3.0,1,2,1,0,0-2,0-0
0,40,0,2,stale_budget,3.0,1,2,1,0,0-2,0-0
0,40,0,2,oracle,3.0,1,1,1,1,0-2,
0,40,1,0,base,2.0,0,0,0,1,2-1,
0,40,1,0,frozen,2.0,0,0,0,1,2-1,0-1
0,40,1,0,dynamic,2.0,0,0,0,1,2-1,2-1
0,40,1,0,stale_budget,2.0,0,0,0,1,2-1,0-1
0,40,1,0,oracle,2.0,0,0,0,1,2-1,
0,40,1,1,base,2.0,2,2,2,1,0-1,
0,40,1,1,frozen,2.0,2,2,2,1,0-1,0-1
0,40,1,1,dynamic,2.0,2,2,2,1,0-1,0-1
0,40,1,1,stale_budget,2.0,2,2,2,1,0-1,0-1
0,40,1,1,oracle,2.0,2,2,2,1,0-1,
0,40,1,2,base,2.0,1,1,1,1,0-2,
0,40,1,2,frozen,2.0,1,0,1,0,0-2,0-0
0,40,1,2,dynamic,2.0,1,1,1,1,0-2,0-2
0,40,1,2,stale_budget,2.0,1,0,1,0,0-2,0-0
0,40,1,2,oracle,2.0,1,1,1,1,0-2,
0,40,2,0,base,3.0,0,0,0,1,2-1,
0,40,2,0,frozen,1.0,0,2,0,0,2-1,0-1
0,40,2,0,dynamic,3.0,0,0,0,1,2-1,2-1
0,40,2,0,stale_budget,1.0,0,2,0,0,2-1,0-1
0,40,2,0,oracle,3.0,0,0,0,1,2-1,
0,40,2,1,base,3.0,2,2,2,1,0-1,
