seed,checkpoint,eval_offset,focal,condition,soups,base_role,selected_role,oracle_role,decision_correct,true_partner_roles,inferred_partner_roles
3,60,0,0,base,6.0,1,1,1,1,2-0,
3,60,0,0,frozen,4.0,1,2,1,0,2-0,1-1
3,60,0,0,dynamic,6.0,1,1,1,1,2-0,2-0
3,60,0,0,stale_budget,4.0,1,2,1,0,2-0,1-1
3,60,0,0,oracle,6.0,1,1,1,1,2-0,
3,60,0,1,base,6.0,2,2,2,1,1-0,
3,60,0,1,frozen,6.0,2,2,2,1,1-0,0-1
3,60,0,1,dynamic,6.0,2,2,2,1,1-0,1-0
3,60,0,1,stale_budget,6.0,2,2,2,1,1-0,0-1
3,60,0,1,oracle,6.0,2,2,2,1,1-0,
3,60,0,2,base,6.0,0,0,0,1,1-2,
3,60,0,2,frozen,6.0,0,0,0,1,1-2,0-1
3,60,0,2,dynamic,6.0,0,0,0,1,1-2,1-2
3,60,0,2,stale_budget,6.0,0,0,0,1,1-2,0-1
3,60,0,2,oracle,6.0,0,0,0,1,1-2,
3,60,1,0,base,6.0,1,1,1,1,2-0,
3,60,1,0,frozen,4.0,1,0,1,0,2-0,1-1
3,60,1,0,dynamic,6.0,1,1,1,1,2-0,2-0
3,60,1,0,stale_budget,4.0,1,0,1,0,2-0,1-1
3,60,1,0,oracle,6.0,1,1,1,1,2-0,
3,60,1,1,base,6.0,2,2,2,1,1-0,
3,60,1,1,frozen,6.0,2,2,2,1,1-0,0-0
3,60,1,1,dynamic,6.0,2,2,2,1,1-0,1-0
3,60,1,1,stale_budget,6.0,2,2,2,1,1-0,0-0
3,60,1,1,oracle,6.0,2,2,2,1,1-0,
3,60,1,2,base,6.0,0,0,0,1,1-2,
3,60,1,2,frozen,6.0,0,0,0,1,1-2,0-1
3,60,1,2,dynamic,6.0,0,0,0,1,1-2,1-2
3,60,1,2,stale_budget,6.0,0,0,0,1,1-2,0-1
3,60,1,2,oracle,6.0,0,0,0,1,1-2,
3,60,2,0,base,6.0,1,1,1,1,2-0,
3,60,2,0,frozen,4.0,1,0,1,0,2-0,1-1
3,60,2,0,dynamic,6.0,1,1,1,1,2-0,2-0
3,60,2,0,stale_budget,4.0,1,0,1,0,2-0,1-1
3,60,2,0,oracle,6.0,1,1,1,1,2-0,
3,60,2,1,base,6.0,2,2,2,1,1-0,
3,60,2,1,frozen,6.0,2,2,2,1,1-0,0-0
3,60,2,1,dynamic,6.0,2,2,2,1,1-0,1-0
3,60,2,1,stale_budget,6.0,2,2,2,1,1-0,0-0
3,60,2,1,oracle,6.0,2,2,2,1,1-0,
3,60,2,2,base,6.0,0,0,0,1,1-2,
3,60,2,2,frozen,6.0,0,0,0,1,1-2,0-1
3,60,2,2,dynamic,6.0,0,0,0,1,1-2,1-2
3,60,2,2,stale_budget,6.0,0,0,0,1,1-2,0-1
3,60,2,2,oracle,6.0,0,0,0,1,1-2,
3,60,3,0,base,6.0,1,1,1,1,2-0,
3,60,3,0,frozen,4.0,1,2,1,0,2-0,1-1
3,60,3,0,dynamic,6.0,1,1,1,1,2-0,2-0
3,60,3,0,stale_budget,4.0,1,2,1,0,2-0,1-1
3,60,3,0,oracle,6.0,1,1,1,1,2-0,
3,60,3,1,base,6.0,2,2,2,1,1-0,
3,60,3,1,frozen,6.0,2,2,2,1,1-0,0-1
3,60,3,1,dynamic,6.0,2,2,2,1,1-0,1-0
3,60,3,1,stale_budget,6.0,2,2,2,1,1-0,0-1
3,60,3,1,oracle,6.0,2,2,2,1,1-0,
3,60,3,2,base,6.0,0,0,0,1,1-2,
3,60,3,2,frozen,3.0,0,2,0,0,1-2,0-1
3,60,3,2,dynamic,6.0,0,0,0,1,1-2,1-2
3,60,3,2,stale_budget,3.0,0,2,0,0,1-2,0-1
3,60,3,2,oracle,6.0,0,0,0,1,1-2,
3,60,4,0,base,6.0,1,1,1,1,2-0,
3,60,4,0,frozen,4.0,1,2,1,0,2-0,1-1
3,60,4,0,dynamic,6.0,1,1,1,1,2-0,2-0
3,60,4,0,stale_budget,4.0,1,2,1,0,2-0,1-1
3,60,4,0,oracle,6.0,1,1,1,1,2-0,
3,60,4,1,base,6.0,2,2,2,1,1-0,
3,60,4,1,frozen,6.0,2,2,2,1,1-0,0-1
3,60,4,1,dynamic,6.0,2,2,2,1,1-0,1-0
3,60,4,1,stale_budget,6.0,2,2,2,1,1-0,0-1
3,60,4,1,oracle,6.0,2,2,2,1,1-0,
3,60,4,2,base,6.0,0,0,0,1,1-2,
3,60,4,2,frozen,3.0,0,2,0,0,1-2,0-1
3,60,4,2,dynamic,6.0,0,0,0,1,1-2,1-2
3,60,4,2,stale_budget,3.0,0,2,0,0,1-2,0-1
3,60,4,2,oracle,6.0,0,0,0,1,1-2,
3,60,5,0,base,6.0,1,1,1,1,2-0,
3,60,5,0,frozen,4.0,1,0,1,0,2-0,1-1
3,60,5,0,dynamic,6.0,1,1,1,1,2-0,2-0
3,60,5,0,stale_budget,4.0,1,0,1,0,2-0,1-1
3,60,5,0,oracle,6.0,1,1,1,1,2-0,
3,60,5,1,base,6.0,2,2,2,1,1-0,
3,60,5,1,frozen,6.0,2,2,2,1,1-0,0-0
